CTCB20,ZONE_CODE,COUNT,AREA,MEAN
1060101020,169,1.000000000000000,1513668.847656250000000,3694.961425781250000
1061112016,170,1.000000000000000,1513668.847656250000000,4852.422851562500000
1064063003,171,1.000000000000000,1513668.847656250000000,3711.923095703125000
9203261033,173,5.000000000000000,7568344.238281250000000,6633.338574218750182
1013001014,179,2.000000000000000,3027337.695312500000000,4687.615478515625000
1190032001,181,1.000000000000000,1513668.847656250000000,2850.230712890625000
4607005008,183,1.000000000000000,1513668.847656250000000,4834.077148437500000
1320012006,185,1.000000000000000,1513668.847656250000000,4302.730957031250000
1320012003,186,1.000000000000000,1513668.847656250000000,4328.000000000000000
3014004001,193,1.000000000000000,1513668.847656250000000,4910.115234375000000
1278061011,199,1.000000000000000,1513668.847656250000000,3065.884521484375000
1278061013,201,1.000000000000000,1513668.847656250000000,3811.230712890625000
