Join_ID,grade,sum_Area_SQUAREKILOMETERS,Polygon_Count,PercentArea
3521,C,0.009066242929456,1,100.000000000000000
3522,C,0.008779929899797,1,100.000000000000000
3523,C,0.008707922587472,1,100.000000000000000
3524,C,0.009103180904064,1,100.000000000000000
3525,C,0.017760841622634,1,100.000000000000000
3526,C,0.009032245909395,1,100.000000000000000
3527,C,0.007394825423470,1,80.604015268244297
3528,C,0.007175817436561,1,79.906923013284370
3529,C,0.008942675502117,1,100.000000000000000
3530,C,0.008679608417028,1,100.000000000000000
3531,C,0.004436846437289,1,100.000000000000000
3532,C,0.008918937395748,1,100.000000000000000
3533,C,0.008670122290280,1,100.000000000000000
3534,C,0.008741447811318,1,100.000000000000000
3535,C,0.008729081023201,1,100.000000000000000
3536,C,0.009023641297109,1,100.000000000000000
3537,C,0.007046205849960,1,71.487018170367108
3538,C,0.008989619248291,1,100.000000000000000
