CTBKEY,ZONE_CODE,COUNT,AREA,MEAN
2012519022023,123,4.000000000000000,6054675.390625000000000,5844.711547851562500
2012519022025,125,1.000000000000000,1513668.847656250000000,1261.000000000000000
2012519022026,126,1.000000000000000,1513668.847656250000000,3337.230712890625000
2012519023000,128,3.000000000000000,4541006.542968750000000,6995.910319010416970
2012519023009,132,1.000000000000000,1513668.847656250000000,6896.846191406250000
2012519023010,133,1.000000000000000,1513668.847656250000000,6648.730957031250000
2012519023016,135,2.000000000000000,3027337.695312500000000,7051.845947265625000
2012519023019,138,1.000000000000000,1513668.847656250000000,6833.884765625000000
2012519023025,140,1.000000000000000,1513668.847656250000000,7052.500000000000000
2012519023027,142,1.000000000000000,1513668.847656250000000,6514.692382812500000
2012519023034,144,1.000000000000000,1513668.847656250000000,6658.115234375000000
2012519031005,148,16.000000000000000,24218701.562500000000000,7296.612976074218750
2012519031006,149,3.000000000000000,4541006.542968750000000,7630.282063802083030
2012519031007,150,4.000000000000000,6054675.390625000000000,7445.230712890625000
2012519031012,151,2.000000000000000,3027337.695312500000000,7359.750000000000000
2012519031013,152,1.000000000000000,1513668.847656250000000,6882.500000000000000
2012519032009,158,3.000000000000000,4541006.542968750000000,7046.769205729166970
2012519032010,159,1.000000000000000,1513668.847656250000000,7550.230957031250000
2012519033000,163,7.000000000000000,10595681.933593750000000,7648.961495535713766
2012519033006,165,1.000000000000000,1513668.847656250000000,8049.500000000000000
2012519033007,166,1.000000000000000,1513668.847656250000000,6138.346191406250000
2012519033008,167,2.000000000000000,3027337.695312500000000,5161.346191406250000
2012519033014,169,27.000000000000000,40869058.886718750000000,886.384612471969035
2012519033016,171,37.000000000000000,56005747.363281250000000,6997.053024704391646
2012519033017,172,1.000000000000000,1513668.847656250000000,4687.384765625000000
2012519033024,175,1.000000000000000,1513668.847656250000000,6529.692382812500000
2012519033032,179,5.000000000000000,7568344.238281250000000,7690.761523437499818
2012519033034,181,1.000000000000000,1513668.847656250000000,8054.077148437500000
2012519041002,182,1.000000000000000,1513668.847656250000000,7074.269042968750000
2012519041005,185,2.000000000000000,3027337.695312500000000,7540.769287109375000
2012519042000,186,69.000000000000000,104443150.488281250000000,7550.165024909419117
2012519042001,187,2.000000000000000,3027337.695312500000000,8000.134765625000000
2012519042020,197,1.000000000000000,1513668.847656250000000,8341.884765625000000
2012519042026,199,1.000000000000000,1513668.847656250000000,5882.307617187500000
2012519042028,201,25.000000000000000,37841721.191406250000000,2101.570750732421402
2012519042036,204,1.000000000000000,1513668.847656250000000,5612.884765625000000
2012519043003,206,3.000000000000000,4541006.542968750000000,6513.102539062500000
