CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen,grade
2016023003,58.12820512820513,44379.16677517361,3831.6923828125,201602,2016023,3003,0.0,,0.0,C
2110002001,26.85340314136126,42992.290508195474,5463.74365234375,211000,2110002,2001,0.0,,0.0,A
2141002013,52.95348837209301,43159.964638157915,4500.0,214100,2141002,2013,0.0,,0.0,A
2141002013,52.95348837209301,43159.964638157915,4500.0,214100,2141002,2013,0.0,,0.0,B
2112012002,87.58333333333331,44470.3515625,2485.884521484375,211201,2112012,2002,0.0,,0.0,C
2114101000,77.19999999999999,44187.87521701388,2700.076904296875,211410,2114101,1000,0.0,,0.0,C
1924202002,76.17857142857143,44314.91685267857,2765.8076171875,192420,1924202,2002,0.0,,0.0,C
1957202000,63.37209302325585,45158.505574087074,3124.96142578125,195720,1957202,2000,0.0,,0.0,D
4823011001,52.24999999999999,44713.87467447917,2731.423095703125,482301,4823011,1001,0.0,,0.0,C
2623033000,37.75769230769228,43650.16795384069,6191.84619140625,262303,2623033,3000,0.0,,0.0,A
4333061002,60.79824561403509,44506.88523706896,3065.076904296875,433306,4333061,1002,0.0,,0.0,C
4813002009,46.97142857142857,44534.58740234376,2887.03857421875,481300,4813002,2009,0.0,,0.0,C
2129002001,70.27941176470587,44027.569496268625,2900.34619140625,212900,2129002,2001,0.0,,0.0,B
2129002001,70.27941176470587,44027.569496268625,2900.34619140625,212900,2129002,2001,0.0,,0.0,C
2625013001,42.00000000000001,43773.287642045456,6076.8076171875,262501,2625013,3001,0.0,,0.0,B
2655232002,80.1,44049.50546875001,2968.730712890625,265523,2655232,2002,0.0,,0.0,C
2654201003,46.259259259259274,43573.76429834904,5197.15380859375,265420,2654201,1003,0.0,,0.0,A
2140004007,79.18518518518516,43894.83307291668,3189.8076171875,214000,2140004,4007,0.0,,0.0,C
2140003006,53.69444444444445,43559.96630859375,3682.423095703125,214000,2140003,3006,0.0,,0.0,B
4804002005,63.27868852459015,44291.10924692623,4081.3076171875,480400,4804002,2005,0.0,,0.0,C
1902011003,82.9130434782609,44359.3654233871,2786.96142578125,190201,1902011,1003,0.0,,0.0,
4807043005,64.16666666666667,44067.20166015625,4640.34619140625,480704,4807043,3005,0.0,,0.0,B
