CTCB20,FctImp,LST,NDVI,CT20,BG20,CB20,PatchDensity,LandscapeShapeIndex,PerCoverGreen
9012091174,1.916666666666667,49751.77747252748,3592.6923828125,901209,9012091,1174,2.295152664e-06,9770.031527405026,0.622788149932605
9012091610,1.101769911504425,50064.64806866955,3898.3076171875,901209,9012091,1610,4.50743701e-07,4199.353427967954,0.785858267361854
9012091064,0.472014925373134,49345.08449281866,3369.0076660156246,901209,9012091,1064,1.91376848e-07,3830.085942728777,0.953661045329506
9012091063,0.236263736263736,49552.98037790697,3363.576904296875,901209,9012091,1063,5.64482895e-07,4685.547869989178,0.955656261911821
9012091375,0.608308605341246,48977.61331602369,3997.128092447917,901209,9012091,1375,3.06786407e-07,4841.292033376162,0.818727758007117
9012091606,0.788135593220339,49608.04254201681,3893.115478515625,901209,9012091,1606,7.030792698e-06,44012.950696191954,0.571416018628356
9012091607,0.188405797101449,49417.76562500001,4101.65380859375,901209,9012091,1607,3.079564989e-06,18480.922557076752,0.717755282706593
9012091003,11.362068965517247,48597.3446502058,3103.2452087402344,901209,9012091,1003,3.973045613e-06,348745.09005971777,0.397478332747972
9009021124,10.833333333333334,49151.7706043956,2898.1923828125,900902,9009021,1124,1.0353037887e-05,83307.36337271718,0.179651563937442
4824012002,52.81739130434783,44432.293865266394,2667.576904296875,482401,4824012,2002,0.0,,0.0
4824031004,51.53571428571428,44357.85764723559,3136.615478515625,482403,4824031,1004,0.0,,0.0
4033261000,78.98518518518514,44720.710266113274,1803.4230957031248,403326,4033261,1000,0.0,,0.0
1060201006,52.15714285714286,45515.644214527005,3763.576904296875,106020,1060201,1006,0.0,,0.0
1082041003,68.06730769230771,44722.25377942374,3340.34619140625,108204,1082041,1003,0.0,,0.0
9203261010,61.666666666666664,45616.62162043538,4988.0,920326,9203261,1010,0.0,,0.0
9201153007,63.639999999999986,44954.26052989131,4544.34619140625,920115,9201153,3007,0.0,,0.0
9201153013,46.8532110091743,45368.863581730744,4657.615234375,920115,9201153,3013,0.0,,0.0
9304003177,9.929292929292934,42991.05940148305,6444.65380859375,930400,9304003,3177,1.735789294e-06,67551.80495277297,0.640053810102413
